,Frequency,SAT,Participant,v,a,ter,k,participant
114,3,1,,0.7324672635893456,1.1936762566103232,0.28420614596562604,10.350268737383693,11.0
115,3,2,,1.4904178956806151,1.3062069155797178,0.313277848932102,4.946062130555233,11.0
116,4,1,,1.408628104638226,0.7243842075406111,0.32282969134470885,6.294378121653846,11.0
117,4,2,,2.4001872283349277,2.5127021202761783,0.23609197616307936,4.90754647909116,11.0
118,5,1,,1.986520761313081,0.8252377014632106,0.3145865013598802,7.234662940092379,11.0
119,5,2,,2.6620327166490125,1.026377109431455,0.3571506867360552,2.331310688438209,11.0
120,6,1,,2.274310530844731,0.7559404393163671,0.3329542386386636,6.484215686237249,11.0
121,6,2,,2.307005190462911,0.9000794730499804,0.35574782159830126,2.5051288001461685,11.0
122,1,1,,1.8741930787247452,1.7175004445241986,0.15770860990779517,5.263817550700887,12.0
123,1,2,,2.319625092806115,0.9976255045354243,0.283358428146867,2.557192506014439,12.0
124,2,1,,1.2723387724906736,1.0758973132379133,0.2723825788941747,6.750241460489218,12.0
125,2,2,,1.2189421073664843,1.051693806886961,0.305296466792916,2.779910228708018,12.0
126,3,1,,0.24921861780473253,3.8362644269127006,0.10091268861837832,7.8499335269901165,12.0
127,3,2,,0.8123974784208732,0.8261747399572172,0.30721085325023717,1.3512656538351269,12.0
128,4,1,,1.3332409883050194,2.2192380066588306,0.10105461099548807,4.481474963131935,12.0
129,4,2,,1.5688855263907415,1.3918089644149672,0.2255104259876144,2.766476082291652,12.0
130,5,1,,1.200188500545893,3.083935796222862,0.10035147507532122,6.168762776325102,12.0
131,5,2,,1.6458879155435677,1.0617530993168982,0.2886146349080626,1.7730360303600334,12.0
132,6,1,,1.5641460892504857,2.401022048030562,0.14801681300623204,5.579572310243634,12.0
133,6,2,,1.5310033382686299,1.9093372898354057,0.13868822731342395,2.622742092064406,12.0
134,1,1,,1.8267054097370807,0.9253102195608349,0.29246978031096327,5.898849908340797,13.0
135,1,2,,2.0642097063139038,1.3030406580745155,0.28026802462426337,2.537442489014406,13.0
136,2,1,,1.2922288538157094,1.0900856138834794,0.2985245749565038,6.8244964827291845,13.0
137,2,2,,1.6107461260238365,0.9295876222961743,0.37579184724224013,1.6285092992358288,13.0
138,3,1,,0.272246725168374,2.2954954456799017,0.2069009196175916,7.321313068810825,13.0
139,3,2,,0.849726865531602,1.2294777878420353,0.29150085158159,2.616484032444192,13.0
140,4,1,,1.3416506648907967,1.3930685031738559,0.26976322813039966,6.615133783698292,13.0
141,4,2,,1.575322698237451,1.1112998747679645,0.3171228953117594,1.44279681650228,13.0
142,5,1,,1.8149565244550532,1.1023468608780025,0.2906890845552242,5.361379875315845,13.0
143,5,2,,1.5384536540878022,1.0336860199037083,0.3538579861103341,1.3657222826747641,13.0
144,6,1,,1.639799488562851,1.257901555786813,0.22400431047322167,3.206293070690742,13.0
145,6,2,,1.481149424266645,1.066971003584384,0.3277159666245142,2.18155189843566,13.0
146,1,1,,3.1247545921340536,0.8990067769264147,0.26698865918477377,3.786026590180901,14.0
147,1,2,,2.587929543477222,1.8108758153932296,0.2209278614499846,2.754138452528545,14.0
148,2,1,,2.018201588242059,1.1536447380697838,0.27060271295338356,6.099314367059275,14.0
149,2,2,,1.7641259419783766,1.3919356545189423,0.2982295612643141,2.4507395667309773,14.0
150,3,1,,1.3613199735511654,1.1021619258881392,0.2918314651195508,6.624059291791717,14.0
151,3,2,,1.3121486912241178,1.9687828597609736,0.17048700540061046,2.3119128397889557,14.0
152,4,1,,2.2105751862654754,1.2282632841229288,0.30250895352868235,3.960040001837992,14.0
153,4,2,,3.2542781759090937,0.500560857016997,0.4890002107384178,-14.299065110102113,14.0
154,5,1,,1.481118786357521,1.473617429742705,0.23919529703160386,5.429167822306085,14.0
155,5,2,,1.4741484352303116,2.060077699258734,0.1017323857975268,1.1472096967251526,14.0
