,Unnamed: 0,Stimulus Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
170,172,5,1,17,0.9269056678810184,5.829484525766471,0.1026696429018797,12.44191574437664
171,173,5,2,17,1.6411347724369978,0.502890628721949,0.2929855889954886,4.438492455083183
172,174,5,3,17,2.75406582604123,1.508120362817742,0.2743448886254311,4.1161501069460025
173,175,5,4,17,4.189274630908017,3.791955587488325,0.2528732547231329,5.975952976444005
174,176,5,5,17,6.0,2.664275053994753,0.2395736433522731,0.3814464684827122
175,177,1,1,18,0.0,1.017670345101091,0.1000657515561865,13.18186189570297
176,178,1,2,18,0.288234701350793,1.4143385830613928,0.1004403191130108,7.106613247019423
177,179,1,3,18,0.5162905059402183,3.513819611998886,0.1002559494258187,7.491039766965574
178,180,1,4,18,0.4011163241378906,1.2706356284206302,0.2158725055051402,5.464944513692966
179,181,1,5,18,0.3843454372979107,1.3040171564364522,0.1863260560274595,3.579786920409201
180,182,2,1,18,0.2228656525835662,0.7268040163507052,0.1007592956526893,10.415078470244282
181,183,2,2,18,0.5047865304015515,1.0362545069647933,0.1005780423609516,5.140413999891924
182,184,2,3,18,1.0422061360780377,1.1347514579102684,0.258787010583889,7.591164811295895
183,185,2,4,18,1.1199322096258495,1.00129044298024,0.2619018506338871,4.837225886713954
184,186,2,5,18,0.6245848472947089,1.087560023797188,0.2027329062428856,2.8694165707812624
185,187,3,1,18,0.0,0.7709935744797463,0.1008660621046068,10.580823127112826
186,188,3,2,18,0.5889363193427939,1.4979191741682096,0.1040870922285079,7.322477290063771
187,189,3,3,18,1.3818313225274714,0.9799375772849396,0.2438015680301806,6.17776489449377
188,190,3,4,18,1.5761361756580958,2.259359490744892,0.1661809979014767,6.504505730422779
189,191,3,5,18,1.654553444761797,1.4964193626836213,0.197675907917278,3.697803425528241
190,192,4,1,18,0.1070734787244043,0.7553743237339887,0.1001244542825152,9.658774900963918
191,193,4,2,18,0.9649217906322144,1.2256711672160847,0.1003161414184138,5.871763137536808
192,194,4,3,18,2.552856590768341,0.8673332512663077,0.2715266408783985,4.756391616496434
193,195,4,4,18,2.4385462274460727,1.2826803083805167,0.2642877865416025,6.292353346069467
194,196,4,5,18,2.309772947137339,0.8228822598259926,0.3022617439564899,2.8507115246568007
195,197,5,1,18,0.0032309080420402,1.8242961265880735,0.1005949059599143,17.98481127746319
196,198,5,2,18,1.3518582259079213,0.6605642184526914,0.1668723128719044,3.8120781545626983
197,199,5,3,18,2.7581079122598404,1.0129411631007557,0.2640208405149621,5.957907849483786
198,200,5,4,18,2.70960175079058,1.3754863917783045,0.2202861429906272,4.4805699516355
199,201,5,5,18,2.5565494703536977,1.2135421349880158,0.2316824553501513,3.0144495440728907
200,202,1,1,19,0.0,0.756566446473256,0.1000037439964725,7.244014951677876
201,203,1,2,19,0.1210341856734881,1.3669708405322831,0.1009429597110353,6.500312919577507
