,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
137,139,3,Accuracy,,0.7739838812545243,0.7500402757478969,0.3386006252746063,13.0
138,140,4,Speed,,2.5976444204505453,1.06575439370652,0.3250618810925084,13.0
139,141,4,Accuracy,,2.993370490622386,1.6521767920350916,0.3536366351572635,13.0
140,142,5,Speed,,3.5518513421472804,1.159725182891033,0.3255837159247222,13.0
141,143,5,Accuracy,,3.057846749903653,1.6759609092425265,0.3766061972002615,13.0
142,144,6,Speed,,3.1683906372249555,1.1792694343764734,0.3027145274069267,13.0
143,145,6,Accuracy,,2.772713763137084,1.4890420858675804,0.3625035406155274,13.0
144,146,1,Speed,,4.059550857873332,0.8600990627530426,0.2718225560814618,14.0
145,147,1,Accuracy,,4.632799481690722,1.4445851727652277,0.3523541245287903,14.0
146,148,2,Speed,,1.9105006476082047,0.5284411651647216,0.3116896990474164,14.0
147,149,2,Accuracy,,2.363226585071283,1.2166264282755483,0.3607338898433023,14.0
148,150,3,Speed,,2.0093615072487974,0.7336570095371964,0.3417070345998936,14.0
149,151,3,Accuracy,,1.431389444079482,1.1416391701025037,0.3276551078252379,14.0
150,152,4,Speed,,4.053778022108292,1.0491303407905024,0.364953163396519,14.0
151,153,4,Accuracy,,1.8985961035003536,0.8317477915789043,0.4347629684283856,14.0
152,154,5,Speed,,3.051567504941318,1.2034619374073436,0.2911854981631713,14.0
153,155,5,Accuracy,,2.155635316168255,2.099843273810049,0.117658068630525,14.0
154,156,6,Speed,,3.5879997867158457,1.0351074995371756,0.3337907359336057,14.0
155,157,6,Accuracy,,3.169969899199728,2.071708029285565,0.3833627916978961,14.0
156,158,1,Speed,,3.2397867287977875,0.7824216118706773,0.3218124580610817,15.0
157,159,1,Accuracy,,4.1732936589450365,1.7355262136351124,0.3410896034531018,15.0
158,160,2,Speed,,2.6248795146446,0.9780600216409496,0.2893185877284908,15.0
159,161,2,Accuracy,,1.7507142188260023,0.8102909530529273,0.4039232503651987,15.0
160,162,3,Speed,,1.5875483012686815,1.0142700436352583,0.3130803811802539,15.0
161,163,3,Accuracy,,1.513313784489732,1.0864611212258293,0.4378866757899919,15.0
162,164,4,Speed,,2.020015313573956,0.5617626043631142,0.33883493704508,15.0
